episode,reward,steps,epsilon,collision,success
178,-44.13,300,0.0501,0,0
179,-89.75,300,0.0496,0,0
180,-60.21,300,0.0496,0,0
181,-60.42,300,0.0496,0,0
182,-15.59,300,0.0496,0,0
183,-55.24,300,0.0496,0,0
184,-50.05,300,0.0496,0,0
185,-1.15,300,0.0496,0,0
186,-19.73,300,0.0496,0,0
187,-14.91,300,0.0496,0,0
188,-4.18,300,0.0496,0,0
189,1.21,300,0.0496,0,0
190,-3.43,300,0.0496,0,0
191,-11.02,300,0.0496,0,0
192,-37.55,300,0.0496,0,0
193,-64.79,300,0.0496,0,0
194,-39.33,300,0.0496,0,0
195,-71.19,300,0.0496,0,0
196,-55.05,300,0.0496,0,0
197,-61.84,300,0.0496,0,0
198,-58.47,300,0.0496,0,0
199,-16.49,300,0.0496,0,0
200,-63.06,300,0.0496,0,0
201,-20.37,300,0.0496,0,0
202,-78.48,300,0.0496,0,0
203,-17.35,300,0.0496,0,0
204,-24.43,300,0.0496,0,0
205,-66.57,300,0.0496,0,0
206,3.77,300,0.0496,0,0
207,-78.19,300,0.0496,0,0
208,-23.03,300,0.0496,0,0
209,-30.16,300,0.0496,0,0
210,-22.55,300,0.0496,0,0
211,-64.18,300,0.0496,0,0
212,10.69,300,0.0496,0,0
213,-4.66,300,0.0496,0,0
214,-14.1,300,0.0496,0,0
215,-60.92,300,0.0496,0,0
216,-17.6,300,0.0496,0,0
217,-31.24,300,0.0496,0,0
218,0.68,300,0.0496,0,0
219,-34.19,300,0.0496,0,0
220,-21.96,300,0.0496,0,0
221,-48.84,300,0.0496,0,0
222,-2.1,300,0.0496,0,0
223,-58.15,300,0.0496,0,0
224,-12.78,300,0.0496,0,0
225,-15.25,300,0.0496,0,0
226,-19.86,300,0.0496,0,0
227,-5.9,300,0.0496,0,0
228,-14.62,300,0.0496,0,0
229,-60.26,15,0.0496,1,0
230,4.34,300,0.0496,0,0
231,-20.47,300,0.0496,0,0
232,-7.12,300,0.0496,0,0
233,-36.36,300,0.0496,0,0
234,-18.95,300,0.0496,0,0
235,-74.58,300,0.0496,0,0
236,-64.99,300,0.0496,0,0
237,-25.75,300,0.0496,0,0
238,-3.61,300,0.0496,0,0
239,-90.63,300,0.0496,0,0
240,-1.15,300,0.0496,0,0
241,-33.93,300,0.0496,0,0
242,-8.34,300,0.0496,0,0
243,-16.22,300,0.0496,0,0
244,-28.62,300,0.0496,0,0
245,4.52,300,0.0496,0,0
246,-26.61,300,0.0496,0,0
247,-46.91,300,0.0496,0,0
248,-8.33,300,0.0496,0,0
249,-69.71,9,0.0496,1,0
250,-64.07,300,0.0496,0,0
251,-61.0,300,0.0496,0,0
252,-18.99,300,0.0496,0,0
253,2.61,300,0.0496,0,0
254,-19.84,300,0.0496,0,0
255,-28.06,300,0.0496,0,0
256,-40.79,300,0.0496,0,0
257,-20.04,300,0.0496,0,0
258,-16.25,300,0.0496,0,0
259,-63.24,300,0.0496,0,0
260,-13.59,300,0.0496,0,0
261,-2.75,300,0.0496,0,0
262,-16.26,300,0.0496,0,0
263,-13.43,300,0.0496,0,0
264,-23.23,300,0.0496,0,0
265,-35.17,300,0.0496,0,0
266,1.7,300,0.0496,0,0
267,-19.12,300,0.0496,0,0
268,-45.9,300,0.0496,0,0
269,-14.66,300,0.0496,0,0
270,-76.92,264,0.0496,1,0
271,-61.25,300,0.0496,0,0
272,-3.7,300,0.0496,0,0
273,-3.71,300,0.0496,0,0
274,-69.82,300,0.0496,0,0
275,-12.17,300,0.0496,0,0
276,-14.96,300,0.0496,0,0
277,-7.82,300,0.0496,0,0
278,-12.68,300,0.0496,0,0
279,-62.16,300,0.0496,0,0
280,-12.18,300,0.0496,0,0
281,-16.86,300,0.0496,0,0
282,-29.01,300,0.0496,0,0
283,-26.66,300,0.0496,0,0
284,15.51,300,0.0496,0,0
285,-9.55,300,0.0496,0,0
286,-26.79,300,0.0496,0,0
287,-18.73,300,0.0496,0,0
288,-7.48,300,0.0496,0,0
289,-21.61,300,0.0496,0,0
290,-52.28,300,0.0496,0,0
291,-30.22,300,0.0496,0,0
292,-81.68,130,0.0496,1,0
293,9.1,300,0.0496,0,0
294,-22.5,300,0.0496,0,0
295,-6.76,300,0.0496,0,0
296,26.23,300,0.0496,0,0
297,-11.55,300,0.0496,0,0
298,-80.63,88,0.0496,1,0
299,5.99,300,0.0496,0,0
300,-30.4,300,0.0496,0,0
301,-50.97,300,0.0496,0,0
302,-2.56,300,0.0496,0,0
303,13.93,300,0.0496,0,0
304,-79.29,300,0.0496,0,0
305,-43.74,300,0.0496,0,0
306,-52.55,300,0.0496,0,0
307,-25.03,300,0.0496,0,0
308,-74.53,300,0.0496,0,0
309,-19.14,300,0.0496,0,0
310,-58.33,300,0.0496,0,0
311,-66.77,300,0.0496,0,0
312,-48.71,300,0.0496,0,0
313,-16.47,300,0.0496,0,0
314,3.77,300,0.0496,0,0
315,-69.47,26,0.0496,1,0
316,-24.7,300,0.0496,0,0
317,-59.82,300,0.0496,0,0
318,-22.54,300,0.0496,0,0
319,-56.06,300,0.0496,0,0
320,-66.39,13,0.0496,1,0
321,-58.11,300,0.0496,0,0
322,-86.09,82,0.0496,1,0
323,-45.56,300,0.0496,0,0
324,-53.47,300,0.0496,0,0
325,10.55,300,0.0496,0,0
326,-32.58,300,0.0496,0,0
327,-71.77,300,0.0496,0,0
328,-96.41,239,0.0496,1,0
329,18.52,300,0.0496,0,0
330,-32.72,300,0.0496,0,0
331,-35.96,300,0.0496,0,0
332,3.5,300,0.0496,0,0
333,14.11,300,0.0496,0,0
334,-23.36,300,0.0496,0,0
335,-51.55,300,0.0496,0,0
336,-72.88,300,0.0496,0,0
337,-42.08,300,0.0496,0,0
338,-78.57,14,0.0496,1,0
339,-22.47,300,0.0496,0,0
340,-20.79,300,0.0496,0,0
341,-15.0,300,0.0496,0,0
342,-63.22,300,0.0496,0,0
343,-43.83,300,0.0496,0,0
344,-54.3,300,0.0496,0,0
345,-29.73,300,0.0496,0,0
346,-1.01,300,0.0496,0,0
347,-21.96,300,0.0496,0,0
348,-7.87,300,0.0496,0,0
349,-40.22,300,0.0496,0,0
350,-10.83,300,0.0496,0,0
351,-56.12,300,0.0496,0,0
352,-51.12,300,0.0496,0,0
353,-62.18,300,0.0496,0,0
354,-13.16,300,0.0496,0,0
355,-23.54,300,0.0496,0,0
356,-51.88,300,0.0496,0,0
357,-14.9,300,0.0496,0,0
358,-40.83,300,0.0496,0,0
359,-10.02,300,0.0496,0,0
360,-55.2,300,0.0496,0,0
361,-29.84,300,0.0496,0,0
362,-52.89,300,0.0496,0,0
363,-17.71,300,0.0496,0,0
364,2.22,300,0.0496,0,0
365,-60.03,300,0.0496,0,0
366,-44.94,300,0.0496,0,0
367,-47.53,300,0.0496,0,0
368,-63.81,300,0.0496,0,0
369,-25.65,300,0.0496,0,0
370,-66.88,300,0.0496,0,0
371,-25.74,300,0.0496,0,0
372,-29.33,300,0.0496,0,0
373,-24.23,300,0.0496,0,0
374,-43.39,300,0.0496,0,0
375,-31.01,300,0.0496,0,0
376,-57.98,300,0.0496,0,0
377,-23.68,300,0.0496,0,0
378,-38.06,300,0.0496,0,0
379,-12.3,300,0.0496,0,0
380,-20.74,300,0.0496,0,0
381,-59.9,300,0.0496,0,0
382,-39.2,300,0.0496,0,0
383,195.77,110,0.0496,0,1
384,-50.79,300,0.0496,0,0
385,-26.97,300,0.0496,0,0
386,-46.38,300,0.0496,0,0
387,-13.58,300,0.0496,0,0
388,12.56,300,0.0496,0,0
389,-24.43,300,0.0496,0,0
390,-58.62,300,0.0496,0,0
391,-17.76,300,0.0496,0,0
392,-67.06,300,0.0496,0,0
393,-7.2,300,0.0496,0,0
394,-19.82,300,0.0496,0,0
395,10.51,300,0.0496,0,0
396,-56.3,300,0.0496,0,0
397,-25.92,300,0.0496,0,0
398,-29.93,300,0.0496,0,0
399,-73.61,13,0.0496,1,0
400,-94.89,300,0.0496,0,0
401,-18.17,300,0.0496,0,0
402,-0.38,300,0.0496,0,0
403,-19.56,300,0.0496,0,0
404,-91.98,136,0.0496,1,0
405,-83.76,132,0.0496,1,0
406,-75.32,300,0.0496,0,0
407,-63.16,300,0.0496,0,0
408,-20.07,300,0.0496,0,0
409,-60.88,300,0.0496,0,0
410,-62.02,300,0.0496,0,0
411,-31.48,300,0.0496,0,0
412,-6.14,300,0.0496,0,0
413,-18.98,300,0.0496,0,0
414,-61.3,300,0.0496,0,0
415,-32.56,300,0.0496,0,0
416,-76.82,300,0.0496,0,0
417,-50.96,300,0.0496,0,0
418,-131.21,13,0.0496,1,0
419,-24.68,300,0.0496,0,0
420,-15.51,300,0.0496,0,0
421,-27.23,300,0.0496,0,0
422,-82.4,210,0.0496,1,0
423,-72.51,79,0.0496,1,0
424,-29.81,300,0.0496,0,0
425,-60.1,300,0.0496,0,0
426,-11.41,300,0.0496,0,0
427,-69.99,300,0.0496,0,0
428,-38.05,300,0.0496,0,0
429,-27.64,300,0.0496,0,0
430,-33.24,300,0.0496,0,0
431,-61.95,300,0.0496,0,0
432,-25.76,300,0.0496,0,0
433,-34.12,300,0.0496,0,0
434,-57.92,300,0.0496,0,0
435,-42.58,300,0.0496,0,0
436,-29.21,300,0.0496,0,0
437,-59.39,300,0.0496,0,0
438,-5.66,300,0.0496,0,0
439,-42.73,300,0.0496,0,0
440,-22.81,300,0.0496,0,0
441,-12.61,300,0.0496,0,0
442,-10.33,300,0.0496,0,0
443,-19.11,300,0.0496,0,0
444,-3.22,300,0.0496,0,0
445,-64.76,10,0.0496,1,0
446,-27.61,300,0.0496,0,0
447,-41.22,300,0.0496,0,0
448,-8.77,300,0.0496,0,0
449,-49.19,300,0.0496,0,0
450,-19.05,300,0.0496,0,0
451,-9.43,300,0.0496,0,0
452,3.63,300,0.0496,0,0
453,-89.32,112,0.0496,1,0
454,-65.92,300,0.0496,0,0
455,-8.27,300,0.0496,0,0
456,-0.78,300,0.0496,0,0
457,-61.1,159,0.0496,1,0
458,-60.1,300,0.0496,0,0
459,-109.88,143,0.0496,1,0
460,-64.98,120,0.0496,1,0
461,-40.77,300,0.0496,0,0
462,-54.36,300,0.0496,0,0
463,-37.66,300,0.0496,0,0
464,-62.86,300,0.0496,0,0
465,-101.98,24,0.0496,1,0
466,-21.14,300,0.0496,0,0
467,-23.18,300,0.0496,0,0
468,-35.59,300,0.0496,0,0
469,-41.89,300,0.0496,0,0
470,-29.6,300,0.0496,0,0
471,-19.93,300,0.0496,0,0
472,-54.69,300,0.0496,0,0
473,-26.3,300,0.0496,0,0
474,-21.11,300,0.0496,0,0
475,-54.3,300,0.0496,0,0
476,-64.81,300,0.0496,0,0
477,-14.4,300,0.0496,0,0
478,-12.43,300,0.0496,0,0
479,-40.98,300,0.0496,0,0
480,-80.66,300,0.0496,0,0
481,-63.34,300,0.0496,0,0
482,-13.73,300,0.0496,0,0
483,-15.67,300,0.0496,0,0
484,-57.75,300,0.0496,0,0
485,-46.74,300,0.0496,0,0
486,-12.73,300,0.0496,0,0
487,-65.14,300,0.0496,0,0
488,-59.35,300,0.0496,0,0
489,0.73,300,0.0496,0,0
490,-28.7,300,0.0496,0,0
491,-43.41,300,0.0496,0,0
492,-8.76,300,0.0496,0,0
493,-82.35,60,0.0496,1,0
494,-82.84,81,0.0496,1,0
495,-27.42,300,0.0496,0,0
496,-17.18,300,0.0496,0,0
497,-73.91,300,0.0496,0,0
498,-59.24,300,0.0496,0,0
499,-35.09,300,0.0496,0,0
500,-22.69,300,0.0496,0,0
501,-75.04,149,0.0496,1,0
502,-74.77,11,0.0496,1,0
503,-11.65,300,0.0496,0,0
504,-61.15,300,0.0496,0,0
505,-22.05,300,0.0496,0,0
506,-77.6,180,0.0496,1,0
507,-40.26,300,0.0496,0,0
508,-45.47,300,0.0496,0,0
509,-66.26,300,0.0496,0,0
510,-16.47,300,0.0496,0,0
511,-37.2,300,0.0496,0,0
512,-62.1,300,0.0496,0,0
513,-25.16,300,0.0496,0,0
514,-34.67,300,0.0496,0,0
515,-21.82,300,0.0496,0,0
516,-30.28,300,0.0496,0,0
517,-40.28,300,0.0496,0,0
518,-61.68,300,0.0496,0,0
519,-15.02,300,0.0496,0,0
520,-77.81,61,0.0496,1,0
521,-60.92,300,0.0496,0,0
522,-85.58,300,0.0496,0,0
523,-14.36,300,0.0496,0,0
524,-67.3,300,0.0496,0,0
525,-28.11,300,0.0496,0,0
526,-61.24,300,0.0496,0,0
527,-62.1,300,0.0496,0,0
528,-45.92,300,0.0496,0,0
529,-41.48,300,0.0496,0,0
530,-71.31,300,0.0496,0,0
531,-30.7,300,0.0496,0,0
532,-21.62,300,0.0496,0,0
533,-8.16,300,0.0496,0,0
534,-43.57,300,0.0496,0,0
535,-63.32,300,0.0496,0,0
536,-60.5,300,0.0496,0,0
537,-8.74,300,0.0496,0,0
538,-41.8,300,0.0496,0,0
539,-49.91,300,0.0496,0,0
540,-71.07,300,0.0496,0,0
541,-54.12,300,0.0496,0,0
542,-59.98,300,0.0496,0,0
543,-48.25,300,0.0496,0,0
544,-59.03,300,0.0496,0,0
545,-55.38,300,0.0496,0,0
546,-34.94,300,0.0496,0,0
547,-59.19,300,0.0496,0,0
548,-50.09,300,0.0496,0,0
549,-57.38,300,0.0496,0,0
550,-21.64,300,0.0496,0,0
551,-79.79,5,0.0496,1,0
552,-31.33,300,0.0496,0,0
553,-51.3,300,0.0496,0,0
554,-31.21,300,0.0496,0,0
555,-59.96,300,0.0496,0,0
556,-65.23,300,0.0496,0,0
557,-3.83,300,0.0496,0,0
558,-61.14,300,0.0496,0,0
559,-51.71,300,0.0496,0,0
560,-71.04,300,0.0496,0,0
561,-11.39,300,0.0496,0,0
562,-44.82,300,0.0496,0,0
563,-70.9,300,0.0496,0,0
564,-38.19,300,0.0496,0,0
565,-4.84,300,0.0496,0,0
566,-55.36,300,0.0496,0,0
567,-52.74,300,0.0496,0,0
568,-12.27,300,0.0496,0,0
569,-15.84,300,0.0496,0,0
570,-59.17,300,0.0496,0,0
571,-71.7,300,0.0496,0,0
572,-15.45,300,0.0496,0,0
573,-14.53,300,0.0496,0,0
574,-55.51,300,0.0496,0,0
575,1.99,300,0.0496,0,0
576,-27.36,300,0.0496,0,0
577,-72.45,51,0.0496,1,0
578,-73.9,300,0.0496,0,0
579,-59.78,300,0.0496,0,0
580,-73.24,75,0.0496,1,0
581,177.0,39,0.0496,0,1
582,-31.29,300,0.0496,0,0
583,-20.15,300,0.0496,0,0
584,-37.58,300,0.0496,0,0
585,-24.22,300,0.0496,0,0
586,-3.15,300,0.0496,0,0
587,7.07,300,0.0496,0,0
588,-48.71,300,0.0496,0,0
589,-69.35,300,0.0496,0,0
590,-18.28,300,0.0496,0,0
591,-81.87,186,0.0496,1,0
592,-9.76,300,0.0496,0,0
593,-25.54,300,0.0496,0,0
594,-71.61,300,0.0496,0,0
595,-60.42,300,0.0496,0,0
596,-55.25,300,0.0496,0,0
597,-42.21,300,0.0496,0,0
598,-11.48,300,0.0496,0,0
599,-55.47,300,0.0496,0,0
600,-57.57,300,0.0496,0,0
