episode,reward,steps,epsilon,collision,success
1,-19.44,300,0.297,0,0
2,-69.19,300,0.294,0,0
3,-48.29,300,0.2911,0,0
4,-41.39,300,0.2882,0,0
5,-53.64,300,0.2853,0,0
6,-14.2,300,0.2824,0,0
7,-33.18,300,0.2796,0,0
8,-5.3,300,0.2768,0,0
9,-39.26,300,0.2741,0,0
10,-66.72,300,0.2713,0,0
11,-73.51,300,0.2686,0,0
12,-66.23,300,0.2659,0,0
13,-59.34,300,0.2633,0,0
14,-54.93,300,0.2606,0,0
15,-136.68,55,0.258,1,0
16,-64.81,300,0.2554,0,0
17,-60.8,300,0.2529,0,0
18,-84.36,145,0.2504,1,0
19,-69.34,300,0.2479,0,0
20,-44.42,300,0.2454,0,0
21,-65.02,300,0.2429,0,0
22,-33.27,300,0.2405,0,0
23,-54.53,300,0.2381,0,0
24,-18.74,300,0.2357,0,0
25,-90.86,90,0.2333,1,0
26,-77.12,300,0.231,0,0
27,-42.08,300,0.2287,0,0
28,-68.72,300,0.2264,0,0
29,-65.73,300,0.2242,0,0
30,-146.25,24,0.2219,1,0
31,-60.06,300,0.2197,0,0
32,-41.07,300,0.2175,0,0
33,-25.33,300,0.2153,0,0
34,-71.73,300,0.2132,0,0
35,-75.45,300,0.211,0,0
36,-89.53,300,0.2089,0,0
37,-50.71,300,0.2068,0,0
38,-40.33,300,0.2048,0,0
39,-53.62,300,0.2027,0,0
40,-67.49,300,0.2007,0,0
41,-90.28,300,0.1987,0,0
42,-40.54,300,0.1967,0,0
43,-45.25,300,0.1947,0,0
44,-47.42,300,0.1928,0,0
45,-82.64,300,0.1909,0,0
46,-136.75,38,0.1889,1,0
47,-63.78,300,0.1871,0,0
48,-84.14,300,0.1852,0,0
49,-69.58,300,0.1833,0,0
50,-69.38,300,0.1815,0,0
51,-65.16,300,0.1797,0,0
52,-58.08,300,0.1779,0,0
53,-38.59,300,0.1761,0,0
54,-63.92,300,0.1743,0,0
55,-146.72,101,0.1726,1,0
56,-63.17,300,0.1709,0,0
57,-51.94,300,0.1692,0,0
58,-46.65,300,0.1675,0,0
59,-64.59,300,0.1658,0,0
60,-68.34,300,0.1641,0,0
61,-69.6,300,0.1625,0,0
62,-99.56,300,0.1609,0,0
63,-83.64,300,0.1593,0,0
64,-37.07,300,0.1577,0,0
65,-44.71,300,0.1561,0,0
66,-53.25,300,0.1545,0,0
67,-76.41,300,0.153,0,0
68,-60.5,300,0.1515,0,0
69,-83.09,300,0.15,0,0
70,-65.36,300,0.1485,0,0
71,-63.19,300,0.147,0,0
72,-57.94,300,0.1455,0,0
73,-49.48,300,0.144,0,0
74,-39.67,300,0.1426,0,0
75,-36.44,300,0.1412,0,0
76,-67.5,300,0.1398,0,0
77,-25.79,300,0.1384,0,0
78,-79.94,300,0.137,0,0
79,-57.97,300,0.1356,0,0
80,-52.21,300,0.1343,0,0
81,-38.21,300,0.1329,0,0
82,-17.46,300,0.1316,0,0
83,-37.98,300,0.1303,0,0
84,-37.44,300,0.129,0,0
85,-30.62,300,0.1277,0,0
86,-17.03,300,0.1264,0,0
87,-88.76,300,0.1251,0,0
88,-53.47,300,0.1239,0,0
89,-65.64,300,0.1226,0,0
90,-60.92,300,0.1214,0,0
91,-65.42,300,0.1202,0,0
92,-56.05,300,0.119,0,0
93,-61.45,300,0.1178,0,0
94,-34.06,300,0.1166,0,0
95,-50.02,300,0.1155,0,0
96,-73.98,300,0.1143,0,0
97,-57.31,300,0.1132,0,0
98,-72.1,300,0.112,0,0
99,-40.51,300,0.1109,0,0
100,-81.17,300,0.1098,0,0
101,-39.67,300,0.1087,0,0
102,-22.16,300,0.1076,0,0
103,-59.21,300,0.1065,0,0
104,-59.62,300,0.1055,0,0
105,-28.88,300,0.1044,0,0
106,-84.64,300,0.1034,0,0
107,-14.6,300,0.1023,0,0
108,-80.83,300,0.1013,0,0
109,-67.45,300,0.1003,0,0
110,-16.56,300,0.0993,0,0
111,-79.64,300,0.0983,0,0
112,-49.44,300,0.0973,0,0
113,-64.63,300,0.0964,0,0
114,-2.39,300,0.0954,0,0
115,-36.99,300,0.0944,0,0
116,-61.63,300,0.0935,0,0
117,-9.94,300,0.0926,0,0
118,-67.27,300,0.0916,0,0
119,-35.0,300,0.0907,0,0
120,-68.87,300,0.0898,0,0
121,-58.71,300,0.0889,0,0
122,-39.81,300,0.088,0,0
123,-15.09,300,0.0871,0,0
124,-40.28,300,0.0863,0,0
125,-11.06,300,0.0854,0,0
126,-42.21,300,0.0846,0,0
127,-63.51,300,0.0837,0,0
128,7.59,300,0.0829,0,0
129,-60.43,300,0.082,0,0
130,-83.61,300,0.0812,0,0
131,-68.07,300,0.0804,0,0
132,-52.05,300,0.0796,0,0
133,-35.82,300,0.0788,0,0
134,-38.87,300,0.078,0,0
135,-88.56,10,0.0772,1,0
136,-76.23,300,0.0765,0,0
137,-59.25,300,0.0757,0,0
138,-34.82,300,0.075,0,0
139,-39.11,300,0.0742,0,0
140,-64.35,300,0.0735,0,0
141,-60.02,300,0.0727,0,0
142,-59.59,300,0.072,0,0
143,-75.12,300,0.0713,0,0
144,-57.99,300,0.0706,0,0
145,-72.92,300,0.0699,0,0
146,-29.44,300,0.0692,0,0
147,-16.54,300,0.0685,0,0
148,-27.11,300,0.0678,0,0
149,-19.69,300,0.0671,0,0
150,-60.29,300,0.0664,0,0
151,-20.68,300,0.0658,0,0
152,-40.72,300,0.0651,0,0
153,-20.01,300,0.0645,0,0
154,-57.32,300,0.0638,0,0
155,-73.23,300,0.0632,0,0
156,-17.5,300,0.0625,0,0
157,-42.54,300,0.0619,0,0
158,-64.9,15,0.0613,1,0
159,-64.06,300,0.0607,0,0
160,-13.98,300,0.0601,0,0
161,-66.41,227,0.0595,1,0
162,-36.28,300,0.0589,0,0
163,-69.56,300,0.0583,0,0
164,-13.69,300,0.0577,0,0
165,-65.47,300,0.0571,0,0
166,-45.5,300,0.0566,0,0
167,-14.89,300,0.056,0,0
168,-88.9,10,0.0554,1,0
169,-73.38,155,0.0549,1,0
170,-11.45,300,0.0543,0,0
171,-56.41,300,0.0538,0,0
172,-46.8,300,0.0533,0,0
173,-65.67,300,0.0527,0,0
174,-59.23,300,0.0522,0,0
175,-26.7,300,0.0517,0,0
176,-49.27,300,0.0512,0,0
177,-16.0,300,0.0506,0,0
