episode,reward,steps,epsilon,collision,success
185,27.68,300,0.0496,0,0
186,24.91,300,0.0496,0,0
187,-18.19,300,0.0496,0,0
188,18.51,300,0.0496,0,0
189,193.39,41,0.0496,0,1
190,31.52,300,0.0496,0,0
191,-47.99,25,0.0496,1,0
192,23.19,300,0.0496,0,0
193,23.02,300,0.0496,0,0
194,9.46,300,0.0496,0,0
195,32.74,300,0.0496,0,0
196,18.22,300,0.0496,0,0
197,12.75,300,0.0496,0,0
198,-141.06,81,0.0496,1,0
199,11.3,300,0.0496,0,0
200,6.18,300,0.0496,0,0
201,-5.29,300,0.0496,0,0
202,21.16,300,0.0496,0,0
203,8.03,300,0.0496,0,0
204,21.31,300,0.0496,0,0
205,18.72,300,0.0496,0,0
206,13.74,300,0.0496,0,0
207,-0.71,300,0.0496,0,0
208,197.44,43,0.0496,0,1
209,15.45,300,0.0496,0,0
210,210.01,46,0.0496,0,1
211,17.77,300,0.0496,0,0
212,11.23,300,0.0496,0,0
213,6.25,300,0.0496,0,0
214,194.51,85,0.0496,0,1
215,207.49,45,0.0496,0,1
216,193.97,236,0.0496,0,1
217,-1.76,300,0.0496,0,0
218,6.24,300,0.0496,0,0
219,177.25,37,0.0496,0,1
220,179.86,55,0.0496,0,1
221,-124.45,74,0.0496,1,0
222,14.15,300,0.0496,0,0
223,-18.85,300,0.0496,0,0
224,0.26,300,0.0496,0,0
225,202.98,67,0.0496,0,1
226,-7.83,300,0.0496,0,0
227,24.34,300,0.0496,0,0
228,6.35,300,0.0496,0,0
229,180.97,29,0.0496,0,1
230,197.56,107,0.0496,0,1
231,193.0,145,0.0496,0,1
232,203.12,121,0.0496,0,1
233,198.37,45,0.0496,0,1
234,25.77,300,0.0496,0,0
235,-117.4,73,0.0496,1,0
236,210.04,56,0.0496,0,1
237,17.1,300,0.0496,0,0
238,20.95,300,0.0496,0,0
239,-0.44,300,0.0496,0,0
240,181.51,48,0.0496,0,1
241,16.35,300,0.0496,0,0
242,199.18,42,0.0496,0,1
243,6.69,300,0.0496,0,0
244,210.42,167,0.0496,0,1
245,16.37,300,0.0496,0,0
246,4.86,300,0.0496,0,0
247,187.92,38,0.0496,0,1
248,193.9,146,0.0496,0,1
249,176.44,46,0.0496,0,1
250,9.88,300,0.0496,0,0
251,209.33,43,0.0496,0,1
252,202.96,51,0.0496,0,1
253,8.37,300,0.0496,0,0
254,28.14,300,0.0496,0,0
255,2.17,300,0.0496,0,0
256,-2.98,300,0.0496,0,0
257,199.63,89,0.0496,0,1
258,171.25,31,0.0496,0,1
259,189.23,38,0.0496,0,1
